,LD1,LD2
Age,0.05600070312818961,-0.18279910808271826
Daily_Usage_Hours,1.3394046047061294,0.32034609778450457
Sleep_Hours,-0.49587387977572345,0.31193764599850615
Academic_Performance,-0.004483819208914619,0.2768350976267967
Social_Interactions,-0.0012851683659393875,0.04523248852824355
Exercise_Hours,0.023050590693258658,0.400073616179967
Anxiety_Level,0.033285645236498795,0.2874663016309602
Depression_Level,-0.0068600746643324275,-0.36996458950847744
Self_Esteem,-0.026015374676695,-0.02809139348787337
Parental_Control,-0.027832152953927602,-0.002462120565371571
Screen_Time_Before_Bed,-0.009707086330117274,-0.15487392175846518
Phone_Checks_Per_Day,0.519584551997628,-0.14621880718973007
Apps_Used_Daily,0.6623730361684426,-0.06737852440628407
Time_on_Social_Media,0.6919978352053813,-0.027308344662228704
Time_on_Gaming,0.591609265484472,-0.19087160447185728
Time_on_Education,-0.025077401232792746,0.3857974667714532
Family_Communication,-0.0343365529604321,0.13641773511765495
Weekend_Usage_Hours,-0.013974115666731752,0.1622239409888324
